Place	Count
Morocco	14
Israel	117
Gaza	101
Rabat	3
United States	13
United Arab Emirates	2
UAE	3
Bahrain	1
Sudan	1
US	57
Western Sahara	4
Washington	7
Tel Aviv	6
Algeria	2
Marrakesh	1
Maghreb	1
Ukraine	1
Saudi Arabia	2
California	1
West Bank	8
Dena	1
Oakland	1
South Africa	30
Jordan	2
Jerusalem	2
East Jerusalem	2
Egypt	3
Qatar	5
Kuala Lumpur	2
Malaysia	2
Palestine	7
Indonesia	1
Jakarta	1
Johannesburg	1
London	5
Paris	2
Vienna	1
Berlin	2
Amman	1
Washington DC	3
UK	2
Manchester	1
Yemen	11
India	1
Hyderabad	1
Colombo Kollupitiya	1
Namibia	8
Germany	9
Palestinian Territories	1
Sweden	2
Iran	9
Kerman	2
Lebanon	12
Bethlehem	3
Nairoukh	1
China	2
Italy	1
Spain	1
Turkey	12
Shawawra	1
Hague	4
Gaza Strip	6
Khan Younis	1
Syria	2
Mazzeh	1
Damascus	2
Houthis	1
Red Sea	14
BabelMandeb Strait	1
Gulf of Aden	2
Sanaa	1
United Kingdom	2
Hodeidah	1
Taiz	1
Dhamar	1
alBayda	1
Saada	1
Arabian Sea	1
Bab alMandeb Strait	1
Asia	1
Europe	2
Kuwait	1
Middle East	5
Ankara	7
West	1
Tehran	1
South Carolina	2
New York City	1
Gaza City	1
Rafah	1
Strip	2
Istanbul	2
Greece	3
Crete	2
Iraq	1
Gulf	1
alDabshah	1
Khirbet Selm	1
Bint Jbeil	1
Beirut	2
Ibil El Saqi	1
alTawil	1
alKhader	1
Bekaa Valley	1
Litani River	1
Netherlands	1
Malta	2
Gulf of Oman	1
Davos	1
Switzerland	1
